n,sigma,ratio_sigma_log2n
59736971,435,16.839500
680233119,494,16.836248
836710559,499,16.835270
837346239,499,16.834648
338644990,477,16.834186
338644991,477,16.834186
224361270,467,16.834138
224361271,467,16.834138
838267257,499,16.833747
682766542,494,16.833171
682766543,494,16.833171
683357321,494,16.832456
1032248961,504,16.831900
74192649,440,16.829368
686013615,494,16.829246
843750844,499,16.828407
843750845,499,16.828407
843750846,499,16.828407
184077951,462,16.827081
688286049,494,16.826511
688286143,494,16.826511
3542887,366,16.822563
227699820,467,16.821217
227699821,467,16.821217
227699822,467,16.821217
851498249,499,16.820927
851777598,499,16.820659
851777599,499,16.820659
854843710,499,16.817720
854843711,499,16.817720
